stim_id,utt_id,speaker,canonical_text,actual_text,foil_text,target_word_index,target_word,actual_word,target_phone_sub,foil_word_index,foil_word_original,foil_word,foil_phone_sub,real_target_start,real_target_end,ref_target_start,ref_target_end,real_foil_start,real_foil_end,ref_foil_start,ref_foil_end,has_foil,align_ok,word_accuracy,utt_accuracy
R0058,096010020,09601,SOMEWHERE THERE HAD TO BE A PLACE BETTER THAN THIS,SOMEWHERE THERE HAD TO BE A PLACE BETTER TAN THIS,SOMEWHERE THEN HAD TO BE A PLACE BETTER THAN THIS,8,THAN,TAN,DH->T@0,1,THERE,THEN,R->N@2,6.007,8.249,1.63,1.73,1.301,1.582,0.443,0.583,yes,yes,3,4
R0059,096010022,09601,IT IS NOT THE FACE HE KNOWS THOUGH,IT IS NOT THE FACE HIGH KNOWS THOUGH,IN IS NOT THE FACE HE KNOWS THOUGH,5,HE,HIGH,IY->AY@1,0,IT,IN,T->N@1,2.951,3.534,1.19,1.27,0.0,0.542,0.0,0.181,yes,yes,3,3
R0060,096040001,09604,HE JUMPED UP BUT ALL WAS STILL ABOUT HIM,HER JUMPED UP BUT ALL WAS STILL ABOUT HIM,HE JUMPED UP BIT ALL WAS STILL ABOUT HIM,0,HE,HER,IY->ER@1,3,BUT,BIT,AH->IH@1,0.0,0.02,0.0,0.161,2.486,2.867,0.644,0.705,yes,no,3,5
R0061,096040002,09604,SHE TURNED AND LOOKED AT HER OTHER FRIENDS,HE TURNED AND LOOKED AT HER OTHER FRIENDS,,0,SHE,HE,SH->HH@0,,,,,0.0,0.843,0.0,0.12,,,,,no,yes,3,3
R0062,096040008,09604,THERE WAS NO ONE LEFT,THIS WAS NO ONE LEFT,THERE WAS SO ONE LEFT,0,THERE,THIS,EH->IH@1;R->S@2,2,NO,SO,N->S@0,0.0,0.08,0.0,0.162,1.845,2.025,0.345,0.446,yes,yes,3,5
R0063,096040009,09604,THIS WAS NOT MY DAY,THIS WAS NOT WE DAY,THIS WAS NOT MY SAY,3,MY,WE,M->W@0;AY->IY@1,4,DAY,SAY,D->S@0,2.352,2.533,0.644,0.745,3.518,3.558,0.805,1.289,yes,no,3,6
R0064,096040011,09604,I WONDER WHAT WAS GOING ON OVER THERE,I WONDER WHAT WAS GOING ON OVER THIS,I WONDER WHAT WAS KNOWING ON OVER THERE,7,THERE,THIS,EH->IH@1;R->S@2,4,GOING,KNOWING,G->N@0,7.795,7.875,1.528,1.95,3.126,3.647,0.945,1.166,yes,yes,3,5
R0065,096040012,09604,SO ARE YOU HERE TO PLAY WITH ME,SHOW ARE YOU HERE TO PLAY WITH ME,SO ARE TO HERE TO PLAY WITH ME,0,SO,SHOW,S->SH@0,2,YOU,TO,Y->T@0,0.0,0.822,0.0,0.12,1.162,1.383,0.241,0.321,yes,yes,3,3
R0066,096040014,09604,IF YOU WANT TO PROVE SOMETHING THEN DO IT,IF YOU WANT TO PROVE SOMETHING THIS DO IT,IN YOU WANT TO PROVE SOMETHING THEN DO IT,6,THEN,THIS,EH->IH@1;N->S@2,0,IF,IN,F->N@1,4.632,5.454,1.253,1.415,0.0,0.722,0.0,0.121,yes,yes,3,4
R0067,096040015,09604,THAT WAS WHEN HE SAW IT,WHAT WAS WHEN HE SAW IT,,0,THAT,WHAT,DH->W@0;AE->AH@1,,,,,0.0,0.725,0.0,0.221,,,,,no,yes,3,5
R0068,096040021,09604,WHAT WAS HE DOING AT THIS MOMENT,WHAT WAYS HE DOING AT THIS MOMENT,WHAT WAS HE DOING IT THIS MOMENT,1,WAS,WAYS,AH->EY@1,4,AT,IT,AE->IH@0,1.162,1.262,0.263,0.364,2.063,2.303,0.808,0.869,yes,yes,3,3
R0069,096040023,09604,I AM RICH AND SO WAS MY FATHER BEFORE ME,I AM RICE AND SO WAS MY FATHER BEFORE ME,I AM RICH AND SO WAS ME FATHER BEFORE ME,2,RICH,RICE,IH->AY@1;CH->S@2,6,MY,ME,AY->IY@1,1.322,1.803,0.282,0.464,3.586,3.906,1.009,1.09,yes,yes,3,4
R0070,096040025,09604,THERE WAS NOTHING TO BE GAINED BY IT,THIS WAS NOTHING TO BE GAINED BY IT,,0,THERE,THIS,EH->IH@1;R->S@2,,,,,0.0,0.723,0.0,0.161,,,,,no,yes,3,3
R0071,096060001,09606,HE HAD COME OUT ON JOBS WITH ME BEFORE,HE HAD CAN OUT ON JOBS WITH ME BEFORE,HE HAD COME OUT IN JOBS WITH ME BEFORE,2,COME,CAN,AH->AE@1;M->N@2,4,ON,IN,AH->IH@0,1.224,1.485,0.362,0.503,2.509,2.73,0.784,0.864,yes,yes,3,3
R0072,096060002,09606,I JUST LOOK AT HIM,I JUST LIKE AT HIM,I JUST LOOK IT HIM,2,LOOK,LIKE,UH->AY@1,3,AT,IT,AE->IH@0,3.03,3.392,0.466,0.628,4.034,4.134,0.689,0.73,yes,yes,3,4
R0073,096060004,09606,BUT SHE IS MY LIFE,BUT HUH IS MY LIFE,BUT SHE IN MY LIFE,1,SHE,HUH,SH->HH@0;IY->AH@1,2,IS,IN,Z->N@1,0.745,1.691,0.202,0.323,1.973,2.074,0.384,0.465,yes,yes,2,3
R0074,096060005,09606,IN HIS EYES HE ONLY SAW HER,IS HIS EYES HE ONLY SAW HER,IN HAS EYES HE ONLY SAW HER,0,IN,IS,N->Z@1,1,HIS,HAS,IH->AE@1,0.0,0.02,0.0,0.141,0.502,0.943,0.202,0.302,yes,no,3,4
R0075,096060009,09606,IT WAS AN AWFUL THING YET WHAT COULD HE DO,IT WAS AN AWFUL THING YET WHAT COULD HE IS,IT WAS IN AWFUL THING YET WHAT COULD HE DO,9,DO,IS,D->IH@0;UH->Z@1,2,AN,IN,AE->IH@0,9.41,9.43,2.372,2.392,2.062,2.643,0.623,0.683,yes,no,3,5
R0076,096060017,09606,HE MUST TURN AROUND TO SEE IF IT IS HER,SHE MUST TURN AROUND TO SEE IF IT IS HER,HE MUST LEARN AROUND TO SEE IF IT IS HER,0,HE,SHE,HH->SH@0,2,TURN,LEARN,T->L@0,0.0,1.122,0.0,0.121,1.963,2.925,0.362,0.542,yes,yes,3,4
R0077,096060020,09606,I ASKED AS HE MADE A LONG PAUSE,I ASKED AS HE MAKE A LONG PAUSE,I ASKED IS HE MADE A LONG PAUSE,4,MADE,MAKE,D->K@2,2,AS,IS,AE->IH@0,4.01,4.27,0.749,0.871,2.305,2.606,0.567,0.628,yes,yes,3,3
R0078,096060022,09606,THAT WAS ALL SHE NEEDED TO DO RIGHT,THIS WAS ALL SHE NEEDED TO DO RIGHT,THAT WAS OR SHE NEEDED TO DO RIGHT,0,THAT,THIS,AE->IH@1;T->S@2,2,ALL,OR,L->R@1,0.0,1.022,0.0,0.182,2.003,2.384,0.404,0.525,yes,yes,3,6
R0079,096070003,09607,HE WOULD DO IT FOR THEM YES FOR THEM,HE SHOULD DO IT FOR THEM YES FOR THEM,HE WOULD DO IN FOR THEM YES FOR THEM,1,WOULD,SHOULD,W->SH@0,3,IT,IN,T->N@1,0.943,1.284,0.141,0.261,1.946,2.006,0.623,0.804,yes,yes,3,6
R0080,096070008,09607,THEY THOUGHT SHE WAS GOING TO WALK OUT AGAIN,THEY THICK SHE WAS GOING TO WALK OUT AGAIN,THE THOUGHT SHE WAS GOING TO WALK OUT AGAIN,1,THOUGHT,THICK,AO->IH@1;T->K@2,0,THEY,THE,EY->AH@1,1.022,1.583,0.223,0.425,0.0,0.922,0.0,0.162,yes,yes,3,4
R0081,096070014,09607,HE WALKED INTO THE ROOM HE HAD JUMPED FROM,HE WALKED INTO THE ROOM HE HAVE JUMPED FROM,HE WALKED INTO THE RULE HE HAD JUMPED FROM,6,HAD,HAVE,D->V@2,4,ROOM,RULE,M->L@2,4.669,5.19,1.132,1.253,3.206,3.407,0.788,0.95,yes,yes,3,5
R0082,096070016,09607,THAT WAS WHEN SHE SAW IT,THAT WAS WHEN SHE SEE IT,THAT WAS ONE SHE SAW IT,4,SAW,SEE,AO->IY@1,2,WHEN,ONE,EH->AH@1,3.19,3.471,0.905,1.086,1.665,2.247,0.563,0.724,yes,yes,3,4
R0083,096070017,09607,SHE HAD HER HAND OVER HER LEFT CHECK,SHE HAVE HER HAND OVER HER LEFT CHECK,SHE HAD HE HAND OVER HER LEFT CHECK,1,HAD,HAVE,D->V@2,2,HER,HE,ER->IY@1,1.104,1.565,0.142,0.243,1.645,2.147,0.283,0.364,yes,yes,3,5
R0084,096070021,09607,HE STILL HAD TO MAKE IT THROUGH THE NIGHT,HE STILL HAD TO MADE IT THROUGH THE NIGHT,HE STILL HAD TO MAKE IT THROUGH THE NOT,4,MAKE,MADE,K->D@2,8,NIGHT,NOT,AY->AA@1,2.849,3.17,0.704,1.005,5.237,6.12,1.568,1.95,yes,yes,3,3
R0085,096080003,09608,YOU MUST NOT THINK OF THE PAST NOW,YOU MUST NOT THINK OF THE PAST NO,,7,NOW,NO,AW->OW@1,,,,,7.168,7.208,1.736,1.776,,,,,no,no,3,4
R0086,096080005,09608,SHE WISHED THAT SHE HAD NEVER COME HERE,SHE WISHED THAT SHE HAD NEVER CON HERE,SHE WISHED THAT SHE HEAD NEVER COME HERE,6,COME,CON,AH->AA@1;M->N@2,4,HAD,HEAD,AE->EH@1,5.005,5.746,1.053,1.195,3.664,4.165,0.668,0.749,yes,yes,3,5
R0087,096080006,09608,THEY WERE ALREADY IN AND SEEMED LIKE THEY SAW NOTHING,THEY WERE ALREADY IN AND SEEMED LIKE THE SAW NOTHING,THE WERE ALREADY IN AND SEEMED LIKE THEY SAW NOTHING,7,THEY,THE,EY->AH@1,0,THEY,THE,EY->AH@1,5.41,6.011,1.535,1.656,0.0,0.802,0.0,0.141,yes,yes,3,3
