stim_id,utt_id,canonical_text,substituted_text,word_index,original_word,substituted_word,rule,phone_index,clean_word_start,clean_word_end,sub_word_start,sub_word_end,dist_made,distortion_type,dist_word_start,dist_word_end
B0065,025380347,THEY ENTERED THROUGH THE OPENING ON THE BEACH,THEY ENTERED TRUE THE OPENING ON THE BEACH,2,THROUGH,TRUE,TH->T,0,0.467,0.629,0.465,0.647,yes,stretch_2.0x,0.467,0.775
B0066,032080071,I HAVE HAD NO HOLIDAY,I HAVE HAVE NO HOLIDAY,2,HAD,HAVE,D->V,2,0.364,0.505,0.363,0.504,yes,stretch_1.6x,0.364,0.574
B0067,025380298,HOPE YOU ALL HAD A GOOD WEEKEND,HOP YOU ALL HAD A GOOD WEEKEND,0,HOPE,HOP,OW->AA,1,0.0,0.242,0.0,0.223,yes,stretch_1.6x,0.0,0.379
B0068,000930018,JOHN IS GO KING TO SEE CAT,JOHN IS GO KING TO SEE CUT,6,CAT,CUT,AE->AH,1,1.237,1.683,1.233,1.637,yes,stretch_1.6x,1.237,1.943
B0069,015030142,BETTER WANTS TO BE A GOOD CHARM,BUTTER WANTS TO BE A GOOD CHARM,0,BETTER,BUTTER,EH->AH,1,0.0,0.221,0.0,0.223,yes,stretch_1.6x,0.0,0.346
B0070,085840089,THE REPORT MAY BE THIS TIME TRAIN,THE REPORT MAY BE THIS TIM TRAIN,5,TIME,TIM,AY->IH,1,0.924,1.145,0.927,1.128,yes,stretch_1.6x,0.924,1.262
B0071,022820293,EDGE OF TOMORROW IS GOOD TIME,EDGE OF TOMORROW IS GOD TIME,4,GOOD,GOD,UH->AA,1,0.989,1.151,0.989,1.232,yes,stretch_1.6x,0.989,1.232
B0072,011090277,WHEN IS THAT GOING TO BE FIXED,WAYNE IS THAT GOING TO BE FIXED,0,WHEN,WAYNE,EH->EY,1,0.0,0.223,0.0,0.365,yes,stretch_2.0x,0.0,0.438
B0073,085840099,I ASK YOU IS SUCH A MAN FREE,I ASK YOU IS SUCH A MAIN FREE,6,MAN,MAIN,AE->EY,1,0.93,1.112,0.966,1.147,yes,stretch_2.0x,0.93,1.278
B0074,036360111,WHAT A SWEET SINGER YOU US WHEN YOU FIRST COME,WHAT A SWEET SINGER YOU US WIN YOU FIRST COME,6,WHEN,WIN,EH->IH,1,1.43,1.571,1.367,1.468,yes,stretch_1.6x,1.43,1.64
B0075,003060002,JUST SET HOOK AND PUT THE PRESSURE,JUST SIT HOOK AND PUT THE PRESSURE,1,SET,SIT,EH->IH,1,0.325,0.507,0.282,0.444,yes,stretch_1.6x,0.325,0.6
B0076,095560129,THERE WILL PROBABLY BE NONE,THERE WILL PROBABLY BE KNOWN,4,NONE,KNOWN,AH->OW,1,1.03,1.474,1.024,1.486,yes,stretch_2.0x,1.03,1.91
B0077,096060011,I LET THE TIME GET AWAY FROM ME,I LET THE TIM GET AWAY FROM ME,3,TIME,TIM,AY->IH,1,0.503,0.764,0.484,0.665,yes,stretch_1.6x,0.503,0.905
B0078,027400289,IT WOULD BE A GREAT FOR US TO ADD HIM,IT WOULD BE A GREAT FOR US TO ODD HIM,8,ADD,ODD,AE->AA,0,1.831,1.951,1.809,1.99,yes,stretch_1.6x,1.831,2.007
B0079,061210109,I PASS HALF MY LIFE IN THE WOODS,I PACE HALF MY LIFE IN THE WOODS,1,PASS,PACE,AE->EY,1,0.202,0.445,0.203,0.425,yes,stretch_2.0x,0.202,0.672
B0080,010370204,HOPING FOR A GREAT CAMPAIGN,HOPING FOR A GRADE CAMPAIGN,3,GREAT,GRADE,T->D,3,0.649,0.852,0.645,0.907,yes,stretch_2.0x,0.649,1.039
B0081,010460017,SAND RAN AWAY FROM THE DEER,SAND RUN AWAY FROM THE DEER,1,RAN,RUN,AE->AH,1,0.304,0.487,0.301,0.442,yes,stretch_1.6x,0.304,0.581
B0082,000540031,SIX EIGHT FOUR SIX,SIX EIGHT FOUR SEX,3,SIX,SEX,IH->EH,1,0.731,1.3,0.71,1.277,yes,stretch_2.0x,0.731,1.861
B0083,005750268,ALL ABOUT THE CHINA CUP FOR ME,ALL ABOUT THE CHINA COP FOR ME,4,CUP,COP,AH->AA,1,0.83,0.971,0.85,1.052,yes,stretch_2.0x,0.83,1.096
B0084,024880070,HE WAS AT THE HEIGHT OF HIS POWER,HE WAS AT THE HIT OF HIS POWER,4,HEIGHT,HIT,AY->IH,1,0.488,0.691,0.465,0.627,yes,stretch_1.6x,0.488,0.797
B0085,022510368,BUT HOW MANY WILL NEVER SEE IT,BET HOW MANY WILL NEVER SEE IT,0,BUT,BET,AH->EH,1,0.0,0.101,0.0,0.161,yes,stretch_1.6x,0.0,0.154
B0086,000750149,TIM LIVES IN MOST ROOM NOW,TIM LOVES IN MOST ROOM NOW,1,LIVES,LOVES,IH->AH,1,0.243,0.608,0.222,0.525,yes,stretch_2.0x,0.243,0.957
B0087,024880098,THEY GET USED TO THE HEAT,THEY GET USED TO THE SHEET,5,HEAT,SHEET,HH->SH,0,0.953,1.358,0.969,1.393,yes,stretch_2.0x,0.953,1.755
B0088,010610165,AND THIS IS HAIR BOOK,AND THIS IS SHARE BOOK,3,HAIR,SHARE,HH->SH,0,0.549,0.711,0.545,0.807,yes,stretch_1.6x,0.549,0.792
B0089,010390183,IT WAS A GOOD SCORE,IT WAS A GOD SCORE,3,GOOD,GOD,UH->AA,1,0.727,0.869,0.708,0.911,yes,stretch_1.6x,0.727,0.938
B0090,008110247,EVEN THEN HE WANT TO WIN,EVEN THEN HE WANT TO ONE,5,WIN,ONE,IH->AH,1,0.935,1.382,1.036,1.3,yes,stretch_1.6x,0.935,1.642
B0091,000750085,JOHN HOT SOME MEAT,JOHN SHOT SOME MEAT,1,HOT,SHOT,HH->SH,0,0.347,0.511,0.504,0.745,yes,stretch_2.0x,0.347,0.659
B0092,096250011,BUT THERE WAS SO MUCH MORE TO COME,BOUGHT THERE WAS SO MUCH MORE TO COME,0,BUT,BOUGHT,AH->AA,1,0.0,0.101,0.0,0.202,yes,stretch_1.6x,0.0,0.154
B0093,096280028,BUT WHAT ELSE AM I TO DO,BOAT WHAT ELSE AM I TO DO,0,BUT,BOAT,AH->OW,1,0.0,0.162,0.0,0.221,yes,stretch_1.6x,0.0,0.251
B0094,085810018,NOW ANOTHER THING I WANT TO TELL YOU,NOW ANOTHER THING I WANT TO TILL YOU,6,TELL,TILL,EH->IH,1,1.288,1.45,1.292,1.474,yes,stretch_1.6x,1.288,1.531
B0095,096140005,BUT THAT IS WHY WE ARE HERE,BOAT THAT IS WHY WE ARE HERE,0,BUT,BOAT,AH->OW,1,0.0,0.121,0.0,0.201,yes,stretch_1.6x,0.0,0.186
B0096,001200145,SATURDAY IS GOING TO BE A LOT OF FUN,SATURDAY IS GOING TO BE A LOT OF PHONE,8,FUN,PHONE,AH->OW,1,1.344,1.846,1.329,1.892,yes,stretch_2.0x,1.344,2.34
B0097,013340313,IT'S NOT HIS NOW BUT MINE,IT'S NOT HIS NOW BUT MIN,5,MINE,MIN,AY->IH,1,1.128,1.672,1.012,1.498,yes,stretch_2.0x,1.128,2.208
B0098,096140020,HE LOOKED OVER HIS HAND AND SMILED,HE LOCKED OVER HIS HAND AND SMILED,1,LOOKED,LOCKED,UH->AA,1,0.161,0.382,0.201,0.462,yes,stretch_1.6x,0.161,0.499
B0099,096310004,IT WILL ONLY BE A MOMENT,IT WELL ONLY BE A MOMENT,1,WILL,WELL,IH->EH,1,0.542,0.703,0.482,0.723,yes,stretch_2.0x,0.542,0.848
B0100,030200151,WOULD YOU HAVE DONE IT,WOULD YOU HAVE DON IT,3,DONE,DON,AH->AA,1,0.47,1.0,0.447,0.65,yes,stretch_2.0x,0.47,1.514
B0101,032080056,GET UP I SAY,GATE UP I SAY,0,GET,GATE,EH->EY,1,0.0,0.141,0.0,0.203,yes,stretch_2.0x,0.0,0.274
B0102,096400020,AUTHOR NOTE HELLO AGAIN EVERYONE,AUTHOR NOT HELLO AGAIN EVERYONE,1,NOTE,NOT,OW->AA,1,0.425,0.586,0.442,0.582,yes,stretch_1.6x,0.425,0.667
B0103,010120212,NOT IN THE MOOD OF ANY OF THEM,NOT IN THE MOVE OF ANY OF THEM,3,MOOD,MOVE,D->V,2,0.546,0.687,0.544,0.726,yes,stretch_1.6x,0.546,0.756
B0104,021790039,NINE SIX THREE SEVEN,NINE SEX THREE SEVEN,1,SIX,SEX,IH->EH,1,0.387,0.57,0.383,0.544,yes,stretch_1.6x,0.387,0.664
B0105,013360162,THIS IS A WASTE OF MONEY,THIS IS A WASTE OF MINI,5,MONEY,MINI,AH->IH,1,0.864,1.266,0.833,1.219,yes,stretch_1.6x,0.864,1.498
B0106,050290062,OUR POOR LITTLE SISTER IS LOST,OUR POOL LITTLE SISTER IS LOST,1,POOR,POOL,R->L,2,0.284,0.466,0.282,0.443,yes,stretch_1.6x,0.284,0.559
B0107,023800124,WE HAVE TO LET THEM KNOW THEY ARE SPECIAL,WE HAVE TO LET THEM NAH THEY ARE SPECIAL,5,KNOW,NAH,OW->AA,1,0.848,0.989,0.852,0.933,yes,stretch_1.6x,0.848,1.058
B0108,095530028,BUT MIGHT NOT HE GET ANOTHER LESSON FROM THEM,BUT MIGHT NOT HE GET ANOTHER LISTEN FROM THEM,6,LESSON,LISTEN,EH->IH,1,1.206,1.508,1.194,1.477,yes,stretch_2.0x,1.206,1.794
B0109,091010109,BUT YOU HAD BEST WASTE NO TIME ON QUESTIONS,BUT YOU HAVE BEST WASTE NO TIME ON QUESTIONS,2,HAD,HAVE,D->V,2,0.403,0.503,0.404,0.525,yes,stretch_2.0x,0.403,0.587
B0110,028920200,I CAN HARDLY WAIT TO SEE THIS,I CAN HARDLY WHAT TO SEE THIS,3,WAIT,WHAT,EY->AH,1,0.607,0.79,0.686,0.807,yes,stretch_2.0x,0.607,0.957
B0111,011090292,WE HAVE TO BE PATIENT AS MUCH AS IT SUCKS,WE HAVE TO BE PATIENT AS MUCH AS IT SIX,9,SUCKS,SIX,AH->IH,1,1.939,2.485,1.925,2.426,yes,stretch_1.6x,1.939,2.804
B0112,014690006,JAYME IS GOING TO SEE CAT,JAYME IS GOING TO SEE CAUGHT,5,CAT,CAUGHT,AE->AA,1,1.012,1.498,1.166,1.649,yes,stretch_2.0x,1.012,1.975
B0113,004820370,I SHUT MY EYES FOR ONE BREATH,I SHOT MY EYES FOR ONE BREATH,1,SHUT,SHOT,AH->AA,1,0.202,0.403,0.201,0.402,yes,stretch_1.6x,0.202,0.508
B0114,014070281,GOOD LUCK TO EVERYONE ELSE IN THE THIS,GOOD LOOK TO EVERYONE ELSE IN THE THIS,1,LUCK,LOOK,AH->UH,1,0.241,0.422,0.243,0.405,yes,stretch_2.0x,0.241,0.587
B0115,022420106,EVERYONE CAN WIN AT HOME,EVERYONE CAN WHEN AT HOME,2,WIN,WHEN,IH->EH,1,0.749,0.891,0.749,0.911,yes,stretch_1.6x,0.749,0.96
B0116,096310019,THE THING HAD COME AND SO IT MUST BE,THE THING HAD COME AND SO IT MISSED BE,7,MUST,MISSED,AH->IH,1,1.536,1.718,1.392,1.573,yes,stretch_1.6x,1.536,1.811
B0117,096180015,WE COULD PUT YOU IN A WORLD OF HURT,WE COULD PUT YOU IN A WORLD OF SHIRT,8,HURT,SHIRT,HH->SH,0,1.271,1.695,1.237,1.683,yes,stretch_2.0x,1.271,2.111
B0118,000490102,MARY LIKES YOUR RED SWEATER,MARY LIKES YOUR RID SWEATER,3,RED,RID,EH->IH,1,0.908,1.07,0.871,1.033,yes,stretch_1.6x,0.908,1.151
B0119,011970092,LOOK AT MARY'S COAT,LOOK AT MARY'S CAUGHT,3,COAT,CAUGHT,OW->AA,1,0.788,1.173,0.772,1.3,yes,stretch_1.6x,0.788,1.395
B0120,096460012,ONE FURTHER REMARK HOWEVER LEFT HIS LIPS,ONE FURTHER REMARK HOWEVER LIFT HIS LIPS,4,LEFT,LIFT,EH->IH,1,1.332,1.534,1.312,1.514,yes,stretch_1.6x,1.332,1.639
B0121,050390081,TRY YOU LUCK THERE,TRY YOU LOCK THERE,2,LUCK,LOCK,AH->AA,1,0.343,0.505,0.347,0.531,yes,stretch_1.6x,0.343,0.586
B0122,001490032,FOUR TWO SIX SIX,FOUR TWO SIX SUCKS,3,SIX,SUCKS,IH->AH,1,1.12,1.161,0.633,1.184,yes,stretch_1.6x,1.12,1.178
B0123,096260007,YOU ARE GOING TO HAVE TO COME WITH US NOW,YOU ARE GOING TO HAVE TO CALM WITH US NOW,6,COME,CALM,AH->AA,1,1.006,1.167,0.944,1.145,yes,stretch_2.0x,1.006,1.312
B0124,095580116,SEE THEM AND HEAR WHAT THEY CAN ADD,SEE THEM AND HEAR WHAT THEY CAN ODD,7,ADD,ODD,AE->AA,0,1.632,1.672,1.632,1.672,no,,,
B0125,014690113,SO MIKE WENT INTO THE LIVING ROOM,SO MIKE WENT INTO THE LOVING ROOM,5,LIVING,LOVING,IH->AH,1,0.97,1.193,0.986,1.207,yes,stretch_2.0x,0.97,1.4
B0126,096400028,IT'S ALMOST PAST YOUR BED TIME,IT'S ALMOST PAST YOUR BID TIME,4,BED,BID,EH->IH,1,1.234,1.396,1.193,1.315,yes,stretch_1.6x,1.234,1.477
B0127,096010009,AND THEN THERE WAS SILENCE FOR A MOMENT OR TWO,END THEN THERE WAS SILENCE FOR A MOMENT OR TWO,0,AND,END,AH->EH,0,0.0,0.142,0.0,0.182,yes,stretch_2.0x,0.0,0.276
