stim_id,source_utt,canonical_text,substituted_text,word_index,original_word,substituted_word,rule,distortion_target_word_index,distortion_type,clean_word_start,clean_word_end,dist_made
S0013,000030080,DOES HE KNOW THE BISCUIT,DOES HE KNOW THE BISCUI,4,BISCUIT,BISCUI,FINAL_STOP_DROP,4,stretch_1.6x,0.6,1.0,yes
S0014,000030101,LOOK AT BOB'S T SHIRT,ROOK AT BOB'S T SHIRT,0,LOOK,ROOK,L->R,0,stretch_2.0x,0.0,0.2,yes
S0015,000030116,SO BILLY WENT INTO THE PET SHOP,SO BILLY VENT INTO THE PET SHOP,2,WENT,VENT,W->V,2,stretch_1.6x,0.36,0.72,yes
S0016,000030119,SO TINA WENT INTO THE WASHROOM,SO TINA WENT INTO THE VASHROOM,5,WASHROOM,VASHROOM,W->V,5,stretch_1.6x,1.08,1.5,yes
S0017,000030145,BILLY LIVED IN NEW YORK,BILLY LIVED IN NEW YOR,4,YORK,YOR,FINAL_STOP_DROP,4,stretch_2.0x,0.98,1.26,yes
S0018,000030154,MY MAP WILL SHOW US,MY MAP VILL SHOW US,2,WILL,VILL,W->V,2,stretch_1.6x,0.34,0.58,yes
S0019,000050003,MIKE LIKES THE WHITE ONE,MIKE RIKES THE WHITE ONE,1,LIKES,RIKES,L->R,1,stretch_1.6x,0.18,0.46,yes
S0020,000050078,DOSE MIKE LIKE THE HAMBURGER,DOSE MIKE RIKE THE HAMBURGER,2,LIKE,RIKE,L->R,2,stretch_1.6x,0.62,0.86,yes
S0021,000050079,ANNIE WANT HAVE SOME PRETTIES,ANNIE VANT HAVE SOME PRETTIES,1,WANT,VANT,W->V,1,stretch_2.0x,0.2,0.38,yes
S0022,000050095,LOOK AT JOHN'S SWEATER,ROOK AT JOHN'S SWEATER,0,LOOK,ROOK,L->R,0,stretch_1.6x,0.0,0.16,yes
S0023,000050100,JIM LIKES YOUR BLUE SHORE,JIM RIKES YOUR BLUE SHORE,1,LIKES,RIKES,L->R,1,stretch_1.6x,0.28,0.52,yes
S0024,000050114,ANNIE WENT WALKING THEM PARK,ANNIE WENT WALKING SEM PARK,3,THEM,SEM,TH->S,3,stretch_1.6x,0.84,1.08,yes
S0025,000050118,LAYLA CAN SEE THE HOMETOWN,RAYLA CAN SEE THE HOMETOWN,0,LAYLA,RAYLA,L->R,0,stretch_1.6x,0.0,0.32,yes
S0026,000050122,SO TINA WENT ON TO WASHROOM,SO TINA WENT ON TO VASHROOM,5,WASHROOM,VASHROOM,W->V,5,stretch_2.0x,1.02,1.48,yes
S0027,000060015,JAYME IS GOING TO SEE HEN,JAYME IS GOIN TO SEE HEN,2,GOING,GOIN,FINAL_STOP_DROP,2,stretch_2.0x,0.34,0.52,yes
S0028,000060077,ANN ATE A LITTLE DOG,ANN ATE A RITTLE DOG,3,LITTLE,RITTLE,L->R,3,stretch_2.0x,0.46,0.62,yes
S0029,000060081,DOES LAYLA LIKE THE JAM,DOES LAYLA RIKE THE JAM,2,LIKE,RIKE,L->R,2,stretch_1.6x,0.46,0.68,yes
S0030,000060083,MARK GOT SOME NOODLES,MAR GOT SOME NOODLES,0,MARK,MAR,FINAL_STOP_DROP,0,stretch_1.6x,0.0,0.18,yes
S0031,000060094,TOM LIKES THE OLD SWEATER,TOM RIKES THE OLD SWEATER,1,LIKES,RIKES,L->R,1,stretch_1.6x,0.18,0.36,yes
S0032,000060111,HE LEFT THE FRUIT STAND,HE REFT THE FRUIT STAND,1,LEFT,REFT,L->R,1,stretch_2.0x,0.12,0.28,yes
S0033,000060113,LET'S GO TO THE GYM,RET'S GO TO THE GYM,0,LET'S,RET'S,L->R,0,stretch_2.0x,0.0,0.22,yes
S0034,000060116,SO MARK WHEN TO THE PET SHOP,SO MAR WHEN TO THE PET SHOP,1,MARK,MAR,FINAL_STOP_DROP,1,stretch_2.0x,0.12,0.32,yes
S0035,000060124,SO ALICE WENT ON TO VILLAGE,SO ALICE VENT ON TO VILLAGE,2,WENT,VENT,W->V,2,stretch_1.6x,0.34,0.64,yes
S0036,000060153,WHAT LOVELY CLEAN TEETH,WHAT ROVELY CLEAN TEETH,1,LOVELY,ROVELY,L->R,1,stretch_2.0x,0.18,0.44,yes
S0037,000240010,IT WAS GOOD FOR ME,IT WAS GOO FOR ME,2,GOOD,GOO,FINAL_STOP_DROP,2,stretch_2.0x,0.28,0.48,yes
S0038,000240031,WE HAVE CLIMBED ONE STEP UP THE LADDER,WE HAVE CLIMBED ONE STEP UP THE RADDER,7,LADDER,RADDER,L->R,7,stretch_1.6x,1.66,1.88,yes
S0039,000240060,PLUS THE KIDS REALLY LIKE THE DOGS,PLUS THE KIDS REALLY RIKE THE DOGS,4,LIKE,RIKE,L->R,4,stretch_1.6x,0.94,1.28,yes
S0040,000240071,EVEN WHEN WE LOSE IT USUALLY A VERY CLOSE GAME,EVEN WHEN WE LOSE IT USUALLY A WERY CLOSE GAME,7,VERY,WERY,V->W,7,stretch_2.0x,1.7,1.9,yes
S0041,000240099,WHAT HE WAS TALKING ABOUT WAS SPORTS IN GENERAL,WHAT HE WAS TALKING ABOU WAS SPORTS IN GENERAL,4,ABOUT,ABOU,FINAL_STOP_DROP,4,stretch_1.6x,0.72,1.06,yes
S0042,000240115,WAY TO HELP US ALL OUT,WAY TO HELP US ALL OU,5,OUT,OU,FINAL_STOP_DROP,5,stretch_1.6x,0.96,1.3,yes
S0043,000240116,LOVELY TO MAKE YOUR ACQUAINTANCE SIR,ROVELY TO MAKE YOUR ACQUAINTANCE SIR,0,LOVELY,ROVELY,L->R,0,stretch_2.0x,0.0,0.4,yes
S0044,000240152,THIS IS A PRETTY GOOD PLACE TO START,THIS IS A PRETTY GOOD PLACE TO STAR,7,START,STAR,FINAL_STOP_DROP,7,stretch_2.0x,1.28,1.54,yes
S0045,000240248,LOVE IS A STRONG MAN IN THE MIDDLE,LOVE IS A STRON MAN IN THE MIDDLE,3,STRONG,STRON,FINAL_STOP_DROP,3,stretch_2.0x,0.44,0.7,yes
S0046,000240284,SOMEBODY LET ME KNOW WHEN IT'S OVER,SOMEBODY RET ME KNOW WHEN IT'S OVER,1,LET,RET,L->R,1,stretch_1.6x,0.28,0.54,yes
S0047,000240287,YOU PUT IT ON WRONG,YOU PUT IT ON WRON,4,WRONG,WRON,FINAL_STOP_DROP,4,stretch_1.6x,0.6,0.84,yes
S0048,000240289,COMPETITION IS GOOD FOR THE INDUSTRY,COMPETITION IS GOO FOR THE INDUSTRY,2,GOOD,GOO,FINAL_STOP_DROP,2,stretch_1.6x,0.68,0.92,yes
S0049,000240320,SHE LOOKED ANXIOUSLY AT THE HOUSE AND STARTED,SHE ROOKED ANXIOUSLY AT THE HOUSE AND STARTED,1,LOOKED,ROOKED,L->R,1,stretch_1.6x,0.12,0.26,yes
S0050,000240323,THEY MAY MAKE ME MORE UNHAPPY THAN I AM,THEY MAY MAKE ME MORE UNHAPPY SAN I AM,6,THAN,SAN,TH->S,6,stretch_1.6x,1.14,1.46,yes
S0051,000240324,SHE WOULD BE SORRY FOR HIS DEATH,SHE VOULD BE SORRY FOR HIS DEATH,1,WOULD,VOULD,W->V,1,stretch_2.0x,0.1,0.2,yes
S0052,000240329,MY PEOPLE WILL BRING YOU TO THE SHIP,MY PEOPLE WILL BRIN YOU TO THE SHIP,3,BRING,BRIN,FINAL_STOP_DROP,3,stretch_2.0x,0.7,0.88,yes
S0053,000240352,I FOUND I HAD NO NEED TO THINK,I FOUND I HAD NO NEED TO SINK,7,THINK,SINK,TH->S,7,stretch_1.6x,1.4,1.6,yes
S0054,000260015,JOHN IS GOING TO SEE COW,JOHN IS GOIN TO SEE COW,2,GOING,GOIN,FINAL_STOP_DROP,2,stretch_2.0x,0.58,0.8,yes
S0055,000260069,TEDDY GIVES UP SHOOTING,TEDDY GIVES UP SHOOTIN,3,SHOOTING,SHOOTIN,FINAL_STOP_DROP,3,stretch_1.6x,0.56,0.88,yes
S0056,000260091,DORA LIKES YOUR RED JEANS,DORA LIKES YOUR LED JEANS,3,RED,LED,R->L,3,stretch_2.0x,0.7,0.96,yes
S0057,000260095,BOB LOVES THE NEW CLOTH,BOB ROVES THE NEW CLOTH,1,LOVES,ROVES,L->R,1,stretch_2.0x,0.18,0.46,yes
S0058,000260096,JOHN NEEDS NEW T SHIRT,JOHN NEEDS NEW T SHIR,4,SHIRT,SHIR,FINAL_STOP_DROP,4,stretch_2.0x,1.16,1.44,yes
S0059,000260112,THEN LILLY WALKS TO MUSIC ROOM,THEN RILLY WALKS TO MUSIC ROOM,1,LILLY,RILLY,L->R,1,stretch_1.6x,,,no
S0060,000260115,THEN TIM WALKS TO THEM PARK,THEN TIM WALKS TO SEM PARK,4,THEM,SEM,TH->S,4,stretch_1.6x,0.82,0.9,yes
S0061,000260121,THEN MANDY WALKS TO RESTROOM,SEN MANDY WALKS TO RESTROOM,0,THEN,SEN,TH->S,0,stretch_2.0x,0.0,0.22,yes
S0062,000260126,DO YOU WANT THE PEA,DO YOU VANT THE PEA,2,WANT,VANT,W->V,2,stretch_1.6x,0.22,0.4,yes
S0063,000360013,IT'S JUST SO HARD TO PICTURE,IT'S JUST SO HAR TO PICTURE,3,HARD,HAR,FINAL_STOP_DROP,3,stretch_2.0x,0.64,0.92,yes
S0064,000360034,WE SPEAK OUT WHEN WE FEEL WE SHOULD SPEAK OUT,WE SPEA OUT WHEN WE FEEL WE SHOULD SPEAK OUT,1,SPEAK,SPEA,FINAL_STOP_DROP,1,stretch_1.6x,0.2,0.4,yes
S0065,000360036,I COULD DO WITH A BREAK,I COULD DO VITH A BREAK,3,WITH,VITH,W->V,3,stretch_2.0x,0.48,0.68,yes
S0066,000360161,ALMOST TIME FOR A HAIRCUT,ALMOS TIME FOR A HAIRCUT,0,ALMOST,ALMOS,FINAL_STOP_DROP,0,stretch_1.6x,0.0,0.26,yes
S0067,000360190,SO YOU WANT TO BE MORE PRODUCTIVE,SO YOU VANT TO BE MORE PRODUCTIVE,2,WANT,VANT,W->V,2,stretch_1.6x,0.22,0.38,yes
S0068,000360210,STARTING CAN NOT BE BETTER THAN THIS,STARTIN CAN NOT BE BETTER THAN THIS,0,STARTING,STARTIN,FINAL_STOP_DROP,0,stretch_2.0x,0.0,0.24,yes
S0069,000360241,AFTER THAT I BE READY TO GO,AFTER SAT I BE READY TO GO,1,THAT,SAT,TH->S,1,stretch_1.6x,0.3,0.5,yes
S0070,000360264,I THANK YOU FOR YOUR SYMPATHY BECAUSE IT COUNTS,I SANK YOU FOR YOUR SYMPATHY BECAUSE IT COUNTS,1,THANK,SANK,TH->S,1,stretch_2.0x,0.14,0.38,yes
S0071,000360313,HE NODDED HIS HEAD AND SMILED,HE NODDED HIS HEA AND SMILED,3,HEAD,HEA,FINAL_STOP_DROP,3,stretch_2.0x,0.6,0.88,yes
S0072,000360334,THE SHOCK WAS TOO MUCH FOR HIM,THE SHOC WAS TOO MUCH FOR HIM,1,SHOCK,SHOC,FINAL_STOP_DROP,1,stretch_1.6x,0.24,0.42,yes
S0073,000360339,HE KNOWS HE'S ABOUT TO GET INTO FIGHT,HE KNOWS HE'S ABOU TO GET INTO FIGHT,3,ABOUT,ABOU,FINAL_STOP_DROP,3,stretch_2.0x,0.68,0.84,yes
S0074,000360343,HE WAS ALWAYS READY TO DO ANYTHING WHATEVER,HE WAS ALWAYS READY TO DO ANYTHIN WHATEVER,6,ANYTHING,ANYTHIN,FINAL_STOP_DROP,6,stretch_2.0x,1.16,1.46,yes
S0075,000360360,THE LONG AND THE SHORT OF IT IS THIS,THE LONG AND THE SHORT OF IT IS SIS,8,THIS,SIS,TH->S,8,stretch_2.0x,1.12,1.32,yes
S0076,000360378,YOU WANT TO BE LOVE,YOU VANT TO BE LOVE,1,WANT,VANT,W->V,1,stretch_1.6x,0.28,0.42,yes
S0077,000440021,MANDY LOVES LIVES IN AUSTRALIAN,MANDY ROVES LIVES IN AUSTRALIAN,1,LOVES,ROVES,L->R,1,stretch_1.6x,0.32,0.68,yes
S0078,000440099,MARK HAS A BEAUTIFUL SUNGLASSES,MAR HAS A BEAUTIFUL SUNGLASSES,0,MARK,MAR,FINAL_STOP_DROP,0,stretch_1.6x,0.0,0.24,yes
S0079,000440104,LISA LAYLA GOT THE BOOTS,RISA LAYLA GOT THE BOOTS,0,LISA,RISA,L->R,0,stretch_1.6x,0.0,0.22,yes
S0080,000440126,TEDDY THIS IS CUMBER,TEDDY SIS IS CUMBER,1,THIS,SIS,TH->S,1,stretch_1.6x,0.14,0.38,yes
S0081,000440145,HANDY LIVES IN BANGKOK NOW,HANDY RIVES IN BANGKOK NOW,1,LIVES,RIVES,L->R,1,stretch_1.6x,0.3,0.52,yes
S0082,000440147,LILLY LIVES IN CAIRO NOW,RILLY LIVES IN CAIRO NOW,0,LILLY,RILLY,L->R,0,stretch_1.6x,,,no
S0083,000440163,YOU CAN PLAY WITH IT,YOU CAN PLAY VITH IT,3,WITH,VITH,W->V,3,stretch_1.6x,0.42,0.64,yes
S0084,000440173,I'M GOING ALL WAY,I'M GOIN ALL WAY,1,GOING,GOIN,FINAL_STOP_DROP,1,stretch_2.0x,0.18,0.36,yes
S0085,000480015,LYNDA IS GOING TO SEE ELEPHANT,LYNDA IS GOING TO SEE ELEPHAN,5,ELEPHANT,ELEPHAN,FINAL_STOP_DROP,5,stretch_1.6x,1.12,1.42,yes
S0086,000480016,MY CAN DRAW THE GOAT,MY CAN DRAW THE GOA,4,GOAT,GOA,FINAL_STOP_DROP,4,stretch_2.0x,0.64,0.82,yes
S0087,000480019,TINA CAN DRAW THE BALT,TINA CAN DRAW THE BAL,4,BALT,BAL,FINAL_STOP_DROP,4,stretch_2.0x,,,no
S0088,000480081,DOES KATE LIKE THE BREAD,DOES KATE LIKE THE BREA,4,BREAD,BREA,FINAL_STOP_DROP,4,stretch_1.6x,0.82,1.02,yes
S0089,000480089,LILLY HAS A BIG LEG,RILLY HAS A BIG LEG,0,LILLY,RILLY,L->R,0,stretch_1.6x,,,no
S0090,000480108,LOOK AT THIS BIG JEEP,LOOK AT SIS BIG JEEP,2,THIS,SIS,TH->S,2,stretch_2.0x,0.34,0.48,yes
S0091,000480119,SO HE WHEN TO T V ROOM,SO HE WHEN TO T V LOOM,6,ROOM,LOOM,R->L,6,stretch_2.0x,1.24,1.66,yes
S0092,000480134,LIKES THE STRING BEAN,LIKES THE STRIN BEAN,2,STRING,STRIN,FINAL_STOP_DROP,2,stretch_1.6x,0.42,0.62,yes
S0093,000480136,SHE WANTS DO A STUDENT,SHE VANTS DO A STUDENT,1,WANTS,VANTS,W->V,1,stretch_1.6x,0.1,0.28,yes
S0094,000480151,WHAT WILL YOU CAT,WHAT VILL YOU CAT,1,WILL,VILL,W->V,1,stretch_2.0x,0.18,0.36,yes
S0095,000480158,COME AND SEE MY DOWN,COME AN SEE MY DOWN,1,AND,AN,FINAL_STOP_DROP,1,stretch_1.6x,,,no
S0096,000480159,I'M NOT AT ALL FREED,I'M NOT AT ALL FREE,4,FREED,FREE,FINAL_STOP_DROP,4,stretch_1.6x,0.58,0.86,yes
S0097,000490086,LOOK AT THE BIG FOOT,LOOK AT THE BIG FOO,4,FOOT,FOO,FINAL_STOP_DROP,4,stretch_1.6x,,,no
S0098,000490087,LET'S DRAW TOM'S HOW,RET'S DRAW TOM'S HOW,0,LET'S,RET'S,L->R,0,stretch_1.6x,0.0,0.28,yes
S0099,000490097,SANDY LIKES THE OLD MAP,SANDY LIKES THE OL MAP,3,OLD,OL,FINAL_STOP_DROP,3,stretch_2.0x,0.74,0.88,yes
S0100,000490101,LOOK AT BOB'S JEANS,ROOK AT BOB'S JEANS,0,LOOK,ROOK,L->R,0,stretch_1.6x,0.0,0.16,yes
S0101,000490102,MARY LIKES YOUR RED SWEATER,MARY LIKES YOUR LED SWEATER,3,RED,LED,R->L,3,stretch_1.6x,0.72,0.88,yes
S0102,000490117,ANN WAS TALKING TO SCHOOL,ANN WAS TALKIN TO SCHOOL,2,TALKING,TALKIN,FINAL_STOP_DROP,2,stretch_1.6x,0.34,0.56,yes
S0103,000490134,MIKE LIKE THE STIR BEN,MIKE RIKE THE STIR BEN,1,LIKE,RIKE,L->R,1,stretch_1.6x,0.2,0.46,yes
S0104,000490144,ANN WANT TO THE DANCE CLASS,ANN VANT TO THE DANCE CLASS,1,WANT,VANT,W->V,1,stretch_2.0x,0.18,0.36,yes
S0105,000490151,BUT IT WILL BE EXCITING,BUT IT WILL BE EXCITIN,4,EXCITING,EXCITIN,FINAL_STOP_DROP,4,stretch_2.0x,0.56,0.9,yes
S0106,000490162,THE RABBIT WENT IN,THE LABBIT WENT IN,1,RABBIT,LABBIT,R->L,1,stretch_2.0x,0.12,0.32,yes
S0107,000490164,I LOVE OUR CAR,I ROVE OUR CAR,1,LOVE,ROVE,L->R,1,stretch_1.6x,0.14,0.28,yes
S0108,000490175,JAM LOOKED IN THE KITCHEN,JAM ROOKED IN THE KITCHEN,1,LOOKED,ROOKED,L->R,1,stretch_1.6x,0.2,0.38,yes
S0109,000530003,MIKE LIKES THE ORANGE ONE,MIKE RIKES THE ORANGE ONE,1,LIKES,RIKES,L->R,1,stretch_2.0x,0.14,0.42,yes
S0110,000530019,LILLY CAN DRAW THE TIGER,RILLY CAN DRAW THE TIGER,0,LILLY,RILLY,L->R,0,stretch_2.0x,,,no
S0111,000530060,SIR THREE PLANTING GRAFF,SIR THREE PLANTIN GRAFF,2,PLANTING,PLANTIN,FINAL_STOP_DROP,2,stretch_2.0x,0.32,0.84,yes
S0112,000530076,LAYLA WANTS HAVE SOME BISCUIT,RAYLA WANTS HAVE SOME BISCUIT,0,LAYLA,RAYLA,L->R,0,stretch_1.6x,0.0,0.3,yes
S0113,000530077,JIM ATE A LITTLE CAKE,JIM ATE A RITTLE CAKE,3,LITTLE,RITTLE,L->R,3,stretch_1.6x,0.7,0.88,yes
S0114,000530094,LIYA LIKES THE OLD SAFE,RIYA LIKES THE OLD SAFE,0,LIYA,RIYA,L->R,0,stretch_1.6x,,,no
S0115,000530112,THEN JAYME WALKS TO TOILET,THEN JAYME VALKS TO TOILET,2,WALKS,VALKS,W->V,2,stretch_1.6x,0.34,0.68,yes
S0116,000530115,THEN TOM WALKS TO ART ROOM,SEN TOM WALKS TO ART ROOM,0,THEN,SEN,TH->S,0,stretch_2.0x,0.0,0.2,yes
S0117,000530145,SHE LIKES THE BIG GREEN CITY LONDON,SHE RIKES THE BIG GREEN CITY LONDON,1,LIKES,RIKES,L->R,1,stretch_1.6x,0.1,0.28,yes
S0118,000530154,I WILL GO TO MEN,I VILL GO TO MEN,1,WILL,VILL,W->V,1,stretch_1.6x,0.18,0.34,yes
S0119,000530163,WHERE DID THAT COME FROM,WHERE DID SAT COME FROM,2,THAT,SAT,TH->S,2,stretch_1.6x,0.56,0.76,yes
S0120,000530174,I ONLY WANT ONE,I ONLY VANT ONE,2,WANT,VANT,W->V,2,stretch_2.0x,0.32,0.6,yes
S0121,000540018,BILLY IS GOING TO SEE FOX,BILLY IS GOIN TO SEE FOX,2,GOING,GOIN,FINAL_STOP_DROP,2,stretch_1.6x,0.38,0.5,yes
S0122,000540072,PETER IS GOOD AT SKIN,PETER IS GOO AT SKIN,2,GOOD,GOO,FINAL_STOP_DROP,2,stretch_1.6x,0.44,0.6,yes
S0123,000540077,BILLY AT A LITTLE JAM,BILLY AT A RITTLE JAM,3,LITTLE,RITTLE,L->R,3,stretch_2.0x,0.48,0.64,yes
S0124,000540088,LOOK AT BILLY'S FOOT,LOOK AT BILLY'S FOO,3,FOOT,FOO,FINAL_STOP_DROP,3,stretch_1.6x,0.72,0.94,yes
S0125,000540106,LINDA CAN SEE THE SUN BOY,RINDA CAN SEE THE SUN BOY,0,LINDA,RINDA,L->R,0,stretch_1.6x,0.0,0.22,yes
S0126,000540111,MARY CAN SEE THE THIEF,MARY CAN SEE THE SIEF,4,THIEF,SIEF,TH->S,4,stretch_2.0x,0.96,1.18,yes
S0127,000540117,KATE WAS WALKING TO PARK,KATE WAS VALKING TO PARK,2,WALKING,VALKING,W->V,2,stretch_2.0x,0.46,0.74,yes
S0128,000540123,SANDY WAS WALKING TO TURN PAR,SANDY WAS VALKING TO TURN PAR,2,WALKING,VALKING,W->V,2,stretch_2.0x,0.5,0.78,yes
S0129,000540127,PETER IS DRAWING THE PASS,PETER IS DRAWIN THE PASS,2,DRAWING,DRAWIN,FINAL_STOP_DROP,2,stretch_1.6x,0.38,0.6,yes
S0130,000540156,IT MUST BE HE,IT MUS BE HE,1,MUST,MUS,FINAL_STOP_DROP,1,stretch_1.6x,0.16,0.32,yes
S0131,000560016,MARY IS GOING TO SEE MONKEY,MARY IS GOIN TO SEE MONKEY,2,GOING,GOIN,FINAL_STOP_DROP,2,stretch_1.6x,0.56,0.72,yes
S0132,000560017,LUCY IS GOING TO SEE HORSE,LUCY IS GOIN TO SEE HORSE,2,GOING,GOIN,FINAL_STOP_DROP,2,stretch_1.6x,0.48,0.64,yes
S0133,000560058,LUCY HOCK SONG MUTTON,LUCY HOC SONG MUTTON,1,HOCK,HOC,FINAL_STOP_DROP,1,stretch_1.6x,,,no
S0134,000560074,I NEED NEW SHORTS,I NEE NEW SHORTS,1,NEED,NEE,FINAL_STOP_DROP,1,stretch_2.0x,0.18,0.32,yes
S0135,000560075,JACK LIKES YOUR RED CUP,JACK RIKES YOUR RED CUP,1,LIKES,RIKES,L->R,1,stretch_1.6x,0.14,0.42,yes
S0136,000560084,LOOK AT DORA'S CLOT,ROOK AT DORA'S CLOT,0,LOOK,ROOK,L->R,0,stretch_2.0x,0.0,0.16,yes
S0137,000560116,JIM WAS TO BE ARE GOLD TEACHER,JIM WAS TO BE ARE GOL TEACHER,5,GOLD,GOL,FINAL_STOP_DROP,5,stretch_2.0x,0.6,0.8,yes
S0138,000560117,JACK WAS WANTS TO BE ARE GOLD NERVOUS,JACK WAS WANTS TO BE ARE GOL NERVOUS,6,GOLD,GOL,FINAL_STOP_DROP,6,stretch_1.6x,1.08,1.28,yes
S0139,000560134,ANYBODY CAN BANK BANK BANK,ANYBODY CAN BAN BANK BANK,2,BANK,BAN,FINAL_STOP_DROP,2,stretch_2.0x,0.64,0.88,yes
S0140,000560154,LOOK HERE I CHUCK THIS,ROOK HERE I CHUCK THIS,0,LOOK,ROOK,L->R,0,stretch_1.6x,0.0,0.2,yes
S0141,000560162,WHO CAN COUNT TO THREE,WHO CAN COUN TO THREE,2,COUNT,COUN,FINAL_STOP_DROP,2,stretch_2.0x,0.26,0.46,yes
S0142,000700012,THANK YOU DEAR GOT,SANK YOU DEAR GOT,0,THANK,SANK,TH->S,0,stretch_1.6x,0.0,0.16,yes
S0143,000700015,LILLY IS GOING TO SEE PIG,LILLY IS GOIN TO SEE PIG,2,GOING,GOIN,FINAL_STOP_DROP,2,stretch_1.6x,0.48,0.66,yes
S0144,000700109,LISA CAN SEE THE YET,RISA CAN SEE THE YET,0,LISA,RISA,L->R,0,stretch_2.0x,0.0,0.22,yes
S0145,000700120,LISA CAN SEE THE CLASSROOM,RISA CAN SEE THE CLASSROOM,0,LISA,RISA,L->R,0,stretch_1.6x,0.0,0.16,yes
S0146,000700123,MANDY WANTS WALKING TO BEDROOM,MANDY VANTS WALKING TO BEDROOM,1,WANTS,VANTS,W->V,1,stretch_2.0x,0.3,0.5,yes
S0147,000700151,YOU ARE MOST WELCOME,YOU ARE MOST VELCOME,3,WELCOME,VELCOME,W->V,3,stretch_1.6x,0.54,0.96,yes
S0148,000750015,TOM IS GOING TO SEE COW,TOM IS GOIN TO SEE COW,2,GOING,GOIN,FINAL_STOP_DROP,2,stretch_2.0x,0.3,0.52,yes
S0149,000750020,SINGER IS COMING FROM AUSTRALIAN,SINGER IS COMIN FROM AUSTRALIAN,2,COMING,COMIN,FINAL_STOP_DROP,2,stretch_2.0x,0.38,0.6,yes
S0150,000750085,JOHN HOT SOME MEAT,JOHN HOT SOME MEA,3,MEAT,MEA,FINAL_STOP_DROP,3,stretch_2.0x,0.84,1.08,yes
S0151,000750091,MARK HAS A BEAUTIFUL SHORTS,MAR HAS A BEAUTIFUL SHORTS,0,MARK,MAR,FINAL_STOP_DROP,0,stretch_1.6x,0.0,0.24,yes
S0152,000750101,LOOK AT JOHN'S COAT,ROOK AT JOHN'S COAT,0,LOOK,ROOK,L->R,0,stretch_1.6x,0.0,0.16,yes
S0153,000750106,LAYLA CAN SEE THE BUS,RAYLA CAN SEE THE BUS,0,LAYLA,RAYLA,L->R,0,stretch_1.6x,0.0,0.3,yes
S0154,000750123,BILLY WAS WALKING TO FARM,BILLY WAS VALKING TO FARM,2,WALKING,VALKING,W->V,2,stretch_1.6x,0.44,0.72,yes
S0155,000750128,LAYLA HOT THE PEAR,RAYLA HOT THE PEAR,0,LAYLA,RAYLA,L->R,0,stretch_1.6x,,,no
S0156,000750149,TIM LIVES IN MOST ROOM NOW,TIM RIVES IN MOST ROOM NOW,1,LIVES,RIVES,L->R,1,stretch_2.0x,0.14,0.4,yes
S0157,000920010,IT IS A LITTLE SEA,IT IS A RITTLE SEA,3,LITTLE,RITTLE,L->R,3,stretch_1.6x,0.28,0.44,yes
S0158,000920094,JACK LIKES THE OLD SWEATER,JACK RIKES THE OLD SWEATER,1,LIKES,RIKES,L->R,1,stretch_1.6x,0.3,0.58,yes
